Запуск,Время выполнения (с),Оценка π
574,0.001852,3.14548
575,0.00234,3.14548
576,0.001935,3.14548
577,0.002083,3.14548
578,0.001864,3.14548
579,0.001661,3.14548
580,0.002073,3.14548
581,0.001817,3.14548
582,0.002184,3.14548
583,0.001834,3.14548
584,0.002539,3.14548
585,0.001949,3.14548
586,0.001626,3.14548
587,0.002621,3.14548
588,0.002319,3.14548
589,0.001557,3.14548
590,0.002566,3.14548
591,0.00218,3.14548
592,0.00235,3.14548
593,0.001896,3.14548
594,0.002123,3.14548
595,0.00182,3.14548
596,0.001906,3.14548
597,0.002699,3.14548
598,0.001838,3.14548
599,0.00228,3.14548
600,0.001595,3.14548
601,0.002401,3.14548
602,0.003327,3.14548
603,0.001786,3.14548
604,0.003871,3.14548
605,0.001983,3.14548
606,0.002171,3.14548
607,0.00217,3.14548
608,0.001895,3.14548
609,0.001818,3.14548
610,0.00189,3.14548
611,0.002003,3.14548
612,0.002194,3.14548
613,0.002646,3.14548
614,0.00217,3.14548
615,0.009936,3.14548
616,0.002287,3.14548
617,0.010965,3.14548
618,0.001874,3.14548
619,0.001793,3.14548
620,0.002153,3.14548
621,0.002844,3.14548
622,0.005962,3.14548
623,0.001556,3.14548
624,0.00182,3.14548
625,0.001813,3.14548
626,0.002538,3.14548
627,0.001954,3.14548
628,0.002267,3.14548
629,0.002207,3.14548
630,0.001677,3.14548
631,0.001546,3.14548
632,0.001831,3.14548
633,0.002044,3.14548
634,0.001846,3.14548
635,0.002359,3.14548
636,0.001764,3.14548
637,0.001823,3.14548
638,0.002364,3.14548
639,0.001875,3.14548
640,0.001544,3.14548
641,0.001808,3.14548
642,0.001895,3.14548
643,0.002091,3.14548
644,0.001583,3.14548
645,0.001542,3.14548
646,0.002203,3.14548
647,0.00183,3.14548
648,0.002534,3.14548
649,0.00208,3.14548
650,0.001786,3.14548
651,0.002485,3.14548
652,0.00194,3.14548
653,0.002224,3.14548
654,0.0023,3.14548
655,0.002441,3.14548
656,0.001399,3.14548
657,0.002035,3.14548
658,0.001821,3.14548
659,0.001827,3.14548
660,0.002251,3.14548
661,0.002431,3.14548
662,0.002263,3.14548
663,0.001847,3.14548
664,0.001836,3.14548
665,0.002251,3.14548
666,0.001801,3.14548
667,0.002089,3.14548
668,0.002634,3.14548
669,0.002039,3.14548
670,0.001939,3.14548
671,0.002039,3.14548
672,0.002475,3.14548
673,0.001943,3.14548
674,0.002119,3.14548
675,0.002168,3.14548
676,0.001569,3.14548
677,0.002159,3.14548
678,0.002255,3.14548
679,0.002135,3.14548
680,0.001862,3.14548
681,0.001414,3.14548
682,0.001909,3.14548
683,0.008235,3.14548
684,0.001862,3.14548
685,0.002445,3.14548
686,0.002394,3.14548
687,0.002079,3.14548
688,0.002275,3.14548
689,0.002031,3.14548
690,0.002003,3.14548
691,0.0021,3.14548
692,0.001746,3.14548
693,0.001799,3.14548
694,0.002449,3.14548
695,0.001963,3.14548
696,0.002508,3.14548
697,0.001774,3.14548
698,0.00206,3.14548
699,0.002164,3.14548
700,0.001859,3.14548
701,0.001854,3.14548
702,0.002557,3.14548
703,0.002344,3.14548
704,0.002323,3.14548
705,0.002866,3.14548
706,0.002501,3.14548
707,0.002634,3.14548
708,0.002627,3.14548
709,0.002397,3.14548
710,0.001857,3.14548
711,0.00247,3.14548
712,0.002387,3.14548
713,0.002722,3.14548
714,0.002471,3.14548
715,0.002384,3.14548
716,0.004527,3.14548
717,0.003834,3.14548
718,0.002381,3.14548
719,0.002307,3.14548
720,0.002116,3.14548
721,0.002178,3.14548
722,0.001933,3.14548
723,0.001827,3.14548
724,0.002435,3.14548
725,0.002148,3.14548
726,0.00188,3.14548
727,0.002225,3.14548
728,0.001569,3.14548
729,0.001611,3.14548
730,0.002475,3.14548
731,0.002465,3.14548
732,0.002074,3.14548
733,0.002463,3.14548
734,0.001826,3.14548
735,0.002117,3.14548
736,0.002342,3.14548
737,0.002615,3.14548
738,0.002399,3.14548
739,0.001581,3.14548
740,0.002522,3.14548
741,0.001787,3.14548
742,0.002606,3.14548
743,0.001914,3.14548
744,0.001809,3.14548
745,0.002413,3.14548
746,0.00236,3.14548
747,0.001573,3.14548
748,0.002437,3.14548
749,0.002571,3.14548
750,0.001795,3.14548
751,0.00207,3.14548
752,0.002605,3.14548
753,0.002231,3.14548
754,0.001857,3.14548
755,0.00222,3.14548
756,0.001427,3.14548
757,0.001526,3.14548
758,0.002295,3.14548
759,0.001805,3.14548
760,0.002545,3.14548
761,0.001967,3.14548
762,0.00225,3.14548
763,0.001972,3.14548
764,0.002461,3.14548
765,0.001916,3.14548
766,0.002135,3.14548
767,0.001486,3.14548
768,0.001878,3.14548
769,0.001827,3.14548
770,0.001437,3.14548
771,0.00172,3.14548
772,0.001812,3.14548
773,0.00177,3.14548
774,0.002107,3.14548
775,0.002098,3.14548
776,0.002169,3.14548
777,0.008696,3.14548
778,0.002388,3.14548
779,0.001762,3.14548
780,0.001793,3.14548
781,0.010852,3.14548
782,0.002213,3.14548
783,0.002049,3.14548
784,0.001588,3.14548
785,0.002101,3.14548
786,0.001924,3.14548
787,0.001997,3.14548
788,0.001792,3.14548
789,0.002096,3.14548
790,0.00263,3.14548
791,0.001812,3.14548
792,0.001721,3.14548
793,0.001956,3.14548
794,0.001788,3.14548
795,0.001534,3.14548
796,0.001658,3.14548
797,0.001578,3.14548
798,0.002455,3.14548
799,0.001952,3.14548
800,0.00147,3.14548
801,0.001617,3.14548
802,0.001825,3.14548
803,0.002088,3.14548
804,0.002441,3.14548
805,0.00214,3.14548
806,0.003067,3.14548
807,0.004974,3.14548
808,0.00178,3.14548
809,0.002516,3.14548
810,0.00171,3.14548
811,0.002295,3.14548
812,0.002781,3.14548
813,0.002654,3.14548
814,0.00336,3.14548
815,0.002073,3.14548
816,0.004129,3.14548
817,0.001839,3.14548
818,0.002516,3.14548
819,0.002596,3.14548
820,0.002588,3.14548
821,0.00232,3.14548
822,0.002603,3.14548
823,0.002047,3.14548
824,0.002102,3.14548
825,0.002191,3.14548
826,0.002078,3.14548
827,0.001853,3.14548
828,0.002252,3.14548
829,0.002479,3.14548
830,0.001905,3.14548
831,0.001775,3.14548
832,0.001744,3.14548
833,0.002185,3.14548
834,0.001875,3.14548
835,0.001783,3.14548
836,0.0025,3.14548
837,0.001549,3.14548
838,0.002595,3.14548
839,0.002151,3.14548
840,0.001561,3.14548
841,0.002222,3.14548
842,0.00138,3.14548
843,0.002359,3.14548
844,0.001849,3.14548
845,0.002531,3.14548
846,0.001865,3.14548
847,0.002583,3.14548
848,0.002767,3.14548
849,0.002278,3.14548
850,0.001559,3.14548
851,0.002541,3.14548
852,0.001421,3.14548
853,0.002588,3.14548
854,0.002237,3.14548
855,0.001842,3.14548
856,0.00165,3.14548
857,0.001844,3.14548
858,0.002464,3.14548
859,0.002348,3.14548
860,0.002498,3.14548
861,0.002268,3.14548
862,0.002531,3.14548
863,0.00175,3.14548
864,0.001796,3.14548
865,0.002162,3.14548
866,0.002013,3.14548
867,0.002113,3.14548
868,0.002501,3.14548
869,0.002221,3.14548
870,0.001857,3.14548
871,0.002541,3.14548
872,0.002159,3.14548
873,0.001745,3.14548
874,0.002315,3.14548
875,0.001923,3.14548
876,0.001764,3.14548
877,0.001805,3.14548
878,0.002472,3.14548
879,0.002312,3.14548
880,0.00159,3.14548
881,0.001571,3.14548
882,0.002031,3.14548
883,0.001822,3.14548
884,0.001724,3.14548
885,0.001992,3.14548
886,0.00252,3.14548
887,0.002573,3.14548
888,0.001957,3.14548
889,0.002429,3.14548
890,0.001763,3.14548
891,0.002281,3.14548
892,0.002063,3.14548
893,0.00189,3.14548
894,0.002065,3.14548
895,0.002466,3.14548
896,0.001691,3.14548
897,0.002241,3.14548
